iter	Passed	Remaining
866	5542	850
867	5545	843
868	5549	836
869	5556	830
870	5571	825
871	5582	819
872	5590	813
873	5601	807
874	5611	801
875	5625	796
876	5634	790
877	5647	784
878	5658	778
879	5670	773
880	5674	766
881	5679	759
882	5684	753
883	5690	746
884	5694	739
885	5698	733
886	5703	726
887	5711	720
888	5721	714
889	5734	708
890	5752	703
891	5759	697
892	5779	692
893	5786	686
894	5799	680
895	5807	674
896	5825	668
897	5829	662
898	5843	656
899	5865	651
900	5874	645
901	5878	638
902	5897	633
903	5901	626
904	5905	619
905	5912	613
906	5922	607
907	5937	601
908	5947	595
909	5961	589
910	5979	584
911	5995	578
912	6005	572
913	6024	566
914	6036	560
915	6050	554
916	6065	549
917	6074	542
918	6080	535
919	6082	528
920	6085	521
921	6091	515
922	6102	509
923	6120	503
924	6139	497
925	6488	518
926	6488	518
927	6512	505
928	6512	505
929	6512	505
930	6521	484
931	6521	484
932	6530	470
933	6539	464
934	7084	494
935	7097	487
936	7128	481
937	7459	495
938	7462	486
939	7465	478
940	7467	470
941	7470	461
942	7472	453
943	7475	445
944	7477	437
945	7479	428
946	7493	421
947	7497	413
948	7500	404
949	7512	397
950	7515	388
951	7524	380
952	7528	372
953	7532	364
954	7536	356
955	7539	348
956	7542	340
957	7545	332
958	7547	324
959	7549	315
960	7551	307
961	7553	299
962	7554	291
963	7556	283
964	7558	275
965	7559	267
966	7561	259
967	7564	251
968	7565	243
969	7566	234
970	7568	226
971	7569	218
972	7571	210
973	7573	203
974	7575	195
975	7577	187
976	7580	179
977	7582	171
978	7583	163
979	7585	155
980	7587	147
981	7592	139
982	7594	131
983	7596	124
984	7598	116
985	7599	108
986	7601	100
987	7603	92
988	7605	84
989	7607	77
990	7609	69
991	7610	61
992	7612	53
993	7614	46
994	7616	38
995	7618	30
996	7620	23
997	7622	15
998	7625	7
999	7627	0
