iter	RMSE
168	0.3275190576
169	0.3270326487
170	0.3267723621
171	0.3264752774
172	0.3261302647
173	0.3257511055
174	0.3255184747
175	0.325360599
176	0.3250542378
177	0.32483046
178	0.3246132791
179	0.3243067976
180	0.323762787
181	0.3235899151
182	0.3232810989
183	0.3230990286
184	0.3228464559
185	0.3227253489
186	0.3224833876
187	0.3222546169
188	0.3219867822
189	0.3217374843
190	0.321519803
191	0.3211638711
192	0.3207935838
193	0.3206677572
194	0.3204574509
195	0.3200028388
196	0.3198498374
197	0.3196881151
198	0.3193341503
199	0.3191271359
200	0.3187491809
201	0.3185092373
202	0.3182585906
203	0.3180686776
204	0.3176996332
205	0.3173177247
206	0.3172272831
207	0.3168885908
208	0.3166894891
209	0.3165164263
210	0.3162235248
211	0.3159635113
212	0.3154645137
213	0.3152528344
214	0.3151444119
215	0.3149135557
216	0.3146117
217	0.314586218
218	0.3144177717
219	0.3140993697
220	0.3137257805
221	0.3134990917
222	0.3132941785
223	0.3131888379
224	0.3130401795
225	0.3127122763
226	0.3123408453
227	0.3122176488
228	0.3118888129
229	0.3116621467
230	0.3114072481
231	0.3112047363
232	0.31096115
233	0.3108640733
234	0.3106406679
235	0.3105078471
236	0.3102695136
237	0.3102261653
238	0.3102021314
239	0.3099081679
240	0.3097408229
241	0.3095371011
242	0.3093928891
243	0.3091126277
244	0.3088917248
245	0.3086973345
246	0.3084671433
247	0.3083745337
248	0.3081802366
249	0.3080066502
250	0.3078167254
251	0.3076676761
252	0.3072668704
253	0.3071572973
254	0.3069420592
255	0.3066799556
256	0.3066439727
257	0.3064121415
258	0.3061282836
259	0.3060097072
260	0.3056174415
261	0.3053667686
262	0.3051281564
263	0.3048673333
264	0.3046686142
265	0.3045659012
266	0.3044524792
267	0.3044320343
268	0.3040822091
269	0.3039234895
270	0.3035759905
271	0.3034512002
272	0.302991108
273	0.3027808939
274	0.3024074967
275	0.3018931586
276	0.3016839752
277	0.3014199425
278	0.3011388361
279	0.3009554148
280	0.3006353486
281	0.3002569967
282	0.3001042899
283	0.300088779
284	0.2998053747
285	0.299348648
286	0.2989915098
287	0.2986915885
288	0.2982559197
289	0.2980578661
290	0.2978094215
291	0.297648492
292	0.297175833
293	0.2969409299
294	0.2967555463
295	0.2965737241
296	0.2964160091
297	0.296018908
298	0.2958428105
299	0.2957085401
300	0.2953742254
301	0.295037565
302	0.294884659
303	0.2947090834
304	0.2945464961
305	0.2943032642
306	0.2941668204
307	0.2939593852
308	0.293783296
309	0.2936087228
310	0.2933671031
311	0.2933480244
312	0.2931845945
313	0.2930610361
314	0.292762719
315	0.2925651362
316	0.2923236581
317	0.2921228603
318	0.2920466782
319	0.2916677464
320	0.2916026785
321	0.291431456
322	0.2913504348
323	0.2911099251
324	0.290872129
325	0.290616793
326	0.2904293839
327	0.2902898626
328	0.2899936495
329	0.2899633616
330	0.2898218079
331	0.28959283
332	0.2894358398
333	0.2892041139
334	0.2891002819
335	0.2890265356
336	0.2887417332
337	0.2887276195
338	0.2882806216
339	0.2881230112
340	0.2879661608
341	0.2877561626
342	0.2876965356
343	0.2875808962
344	0.2872287598
345	0.2869295346
346	0.286774366
347	0.2867242098
348	0.2867008541
349	0.286615217
350	0.2865777043
351	0.2863519533
352	0.2860335996
353	0.2860211501
354	0.2858859595
355	0.2856247051
356	0.2855696847
357	0.2853541748
358	0.2849769107
359	0.2848460876
360	0.2846121249
361	0.2843657971
362	0.284088696
363	0.283859012
364	0.2836637377
365	0.2835627288
366	0.2832806044
367	0.2830664327
368	0.2827288757
369	0.2826534502
370	0.2824079222
371	0.282167416
372	0.2819528247
373	0.2817438022
374	0.2815455808
375	0.2814648512
376	0.2814511844
377	0.2813434706
378	0.281226842
379	0.2810340707
380	0.2808113101
381	0.2806761303
382	0.2805812182
383	0.280476635
384	0.2802963942
385	0.2800322777
386	0.2799197059
387	0.2795396226
388	0.2795178088
389	0.2792211387
390	0.2790721659
391	0.2787797442
392	0.278454435
393	0.2782756273
394	0.2781462889
395	0.2781263318
396	0.278094564
397	0.2777792615
398	0.277577764
399	0.2774482754
400	0.2771212686
401	0.2769609975
402	0.2766882454
403	0.2765234627
404	0.2763628296
405	0.2763471973
406	0.2762217838
407	0.2762091244
408	0.2760315912
409	0.2758385743
410	0.2756522551
411	0.2755237914
412	0.2753112644
413	0.275150752
414	0.2750751703
415	0.2749828133
416	0.2746693302
417	0.27435548
418	0.2741966869
419	0.2741320436
420	0.2737508108
421	0.2734351971
422	0.2732877161
423	0.2728437755
424	0.2726244519
425	0.2724900165
426	0.2724753749
427	0.2723289658
428	0.2722524268
429	0.2719730327
430	0.2717193098
431	0.2714440617
432	0.2711535226
433	0.2708947842
434	0.2707252375
435	0.2706525382
436	0.2703245506
437	0.2700063259
438	0.2699127886
439	0.2698727128
440	0.2698236349
441	0.2696836453
442	0.2695387135
443	0.269355528
444	0.2692538753
445	0.2691497276
446	0.2690688509
447	0.2688567872
448	0.268824296
449	0.2686451424
450	0.2685623719
451	0.2685336748
452	0.2684022253
453	0.2682782472
454	0.267987382
455	0.2677498241
456	0.2675597231
457	0.2674986765
458	0.2673696008
459	0.2672600199
460	0.2669962744
461	0.266953788
462	0.2668310716
463	0.2666206248
464	0.2663893295
465	0.2662342726
466	0.2662076331
467	0.2661261763
468	0.2660110139
469	0.2659440397
470	0.2659326234
471	0.2657782208
472	0.2655146501
473	0.2654956715
474	0.2654796461
475	0.2654426156
476	0.2653265173
477	0.2652872544
478	0.2650743509
479	0.2649443605
480	0.2645811373
481	0.2643997582
482	0.2642847512
483	0.264145019
484	0.2638874534
485	0.2638257587
486	0.2637899414
487	0.2636655133
488	0.2635665885
489	0.2632478172
490	0.2631708818
491	0.263030798
492	0.2628919016
493	0.2628244328
494	0.2626248523
495	0.2626107519
496	0.2625621729
497	0.2624226091
498	0.2623399898
499	0.2623233059
500	0.2620410674
501	0.2617459252
502	0.2615847893
503	0.2615587011
504	0.2614726214
505	0.2611834685
506	0.2610960744
507	0.2609845664
508	0.2608157292
509	0.2606642053
510	0.2605960631
511	0.2604101163
512	0.2602695657
513	0.2602629097
514	0.2600433646
515	0.2599668328
516	0.2598863696
517	0.2597042368
518	0.2595751702
519	0.2595038154
520	0.2594784107
521	0.2592620439
522	0.2592365989
523	0.25919165
524	0.258957322
525	0.2586653776
526	0.2585276937
527	0.2584335977
528	0.2583598959
529	0.258221648
530	0.2581337159
531	0.2579562387
532	0.2578492764
533	0.2577186937
534	0.2575347088
535	0.2573774172
536	0.2571721464
537	0.257095519
538	0.2570331115
539	0.2569793351
540	0.2568108247
541	0.2565703108
542	0.2565002286
543	0.2562689492
544	0.256217568
545	0.2561052805
546	0.2558745831
547	0.2558121749
548	0.2556363158
549	0.2553081103
550	0.2549573619
551	0.2546470613
552	0.2544183861
553	0.2542773782
554	0.2541331426
555	0.2540828035
556	0.2539828492
557	0.2536732909
558	0.2536639074
559	0.2535575522
560	0.2534636415
561	0.2533062375
562	0.253295925
563	0.2531690148
564	0.2530820466
565	0.2529503303
566	0.2527318613
567	0.2527029696
568	0.2525627014
569	0.2523485899
570	0.2522420632
571	0.251925906
572	0.2518630238
573	0.2517528029
574	0.2514475909
575	0.2513309934
576	0.25124467
577	0.2510951566
578	0.2507618615
579	0.2506825818
580	0.2504685017
581	0.2502949377
582	0.2502076169
583	0.2499581565
584	0.2498595894
585	0.2498449052
586	0.2497464456
587	0.2496343812
588	0.2494867993
589	0.2493639177
590	0.2490050683
591	0.2488207996
592	0.2487225332
593	0.2486546892
594	0.2486213165
595	0.24844072
596	0.248242773
597	0.2481173649
598	0.2479641331
599	0.2479111133
600	0.2478498981
601	0.2478032692
602	0.247768094
603	0.2477162275
604	0.2474238522
605	0.2473830518
606	0.2472834828
607	0.2472752126
608	0.2472444909
609	0.2471692502
610	0.2471380745
611	0.2469990388
612	0.2467962771
613	0.2466911956
614	0.2464160961
615	0.2461674774
616	0.2460396749
617	0.2460095016
618	0.245815741
619	0.2456239292
620	0.2454554966
621	0.2453779892
622	0.2451323683
623	0.2450186567
624	0.244701256
625	0.2445703151
626	0.2444641293
627	0.2441244294
628	0.2440383792
629	0.2439319799
630	0.2438988141
631	0.2438157578
632	0.243537626
633	0.2433912754
634	0.243370718
635	0.2433553043
636	0.2432196409
637	0.2431627857
638	0.2431325354
639	0.2430840428
640	0.2428437117
641	0.2428125434
642	0.2427615804
643	0.2424166906
644	0.2422471243
645	0.2421822839
646	0.2420763717
647	0.241807994
648	0.2417202996
649	0.2416202795
650	0.2415858146
651	0.2414376009
652	0.2413402595
653	0.2412497264
654	0.2411690067
655	0.2410354744
656	0.241019032
657	0.2408411186
658	0.2405652215
659	0.2405579629
660	0.2404752365
661	0.2404306329
662	0.2402507214
663	0.2399289044
664	0.2397944897
665	0.2395732877
666	0.2393859894
667	0.239358447
668	0.2393359691
669	0.2392447908
670	0.2391053254
671	0.2389059823
672	0.2388340092
673	0.238769532
674	0.2387202544
675	0.2385234309
676	0.2383760213
677	0.2382719904
678	0.2380241694
679	0.2379906707
680	0.2378353762
681	0.2376422764
682	0.2374189993
683	0.2372625152
684	0.2371793887
685	0.2370566158
686	0.2367786454
687	0.2366616992
688	0.2365849181
689	0.2365151886
690	0.236418867
691	0.2362980005
692	0.2361278816
693	0.235986366
694	0.2359629981
695	0.2357523787
696	0.2357344901
697	0.2355214056
698	0.2354322211
699	0.2352086888
700	0.2351689465
701	0.2350979229
702	0.234921519
703	0.234913236
704	0.2346640901
705	0.2346154733
706	0.2345842142
707	0.2343431877
708	0.2342242935
709	0.2341062114
710	0.2340787587
711	0.2339419885
712	0.2338174689
713	0.2336443939
714	0.2334051583
715	0.2331927057
716	0.2329413658
717	0.2328546391
718	0.2326556749
719	0.2324386003
720	0.2323618369
721	0.2322271236
722	0.2321894648
723	0.2321716308
724	0.2319473929
725	0.2316501243
726	0.231396163
727	0.2312546955
728	0.2311841657
729	0.231106963
730	0.2310422728
731	0.2310132774
732	0.2309794148
733	0.230958458
734	0.2308223248
735	0.2306399362
736	0.2304147442
737	0.2302561499
738	0.2301394568
739	0.2298562418
740	0.2298368237
741	0.2298121513
742	0.2296465499
743	0.2294816945
744	0.2293795238
745	0.2293230155
746	0.2290737432
747	0.2288931135
748	0.2288065489
749	0.2287360065
750	0.2285586145
751	0.2284496261
752	0.2282373377
753	0.2282311787
754	0.2281199543
755	0.2279989728
756	0.2279569609
757	0.2278299502
758	0.2277015403
759	0.2275801858
760	0.2274001056
761	0.2273917981
762	0.2272392099
763	0.2270153545
764	0.2269681931
765	0.2269407067
766	0.2268603275
767	0.2267479934
768	0.226708847
769	0.2264681595
770	0.2264241334
771	0.2263873391
772	0.2262581449
773	0.2261905067
774	0.2260421879
775	0.2257501053
776	0.225470999
777	0.2254474071
778	0.2253654957
779	0.2251169681
780	0.2250160332
781	0.2249345143
782	0.2248308549
783	0.2247230357
784	0.2246902964
785	0.224641508
786	0.2245478264
787	0.2244456456
788	0.2243228186
789	0.2242244986
790	0.2240838147
791	0.2240096469
792	0.223910901
793	0.2238828384
794	0.2237471915
795	0.2236218171
796	0.2234174721
797	0.2231772453
798	0.223084247
799	0.2230523608
800	0.2227995844
801	0.2227102931
802	0.2226987153
803	0.222600717
804	0.2225923257
805	0.2225307701
806	0.2222677183
807	0.2222263549
808	0.2219962003
809	0.2219252086
810	0.2218191862
811	0.2216375394
812	0.2216172708
813	0.221533746
814	0.2215298089
815	0.2212691586
816	0.2211462751
817	0.2211424867
818	0.2210875658
819	0.2208593289
820	0.2206557932
821	0.2205289986
822	0.2204227397
823	0.2203126864
824	0.2202691703
825	0.2202317131
826	0.2201039256
827	0.2199160836
828	0.2197350873
829	0.2196571897
830	0.219580167
831	0.2193249914
832	0.2191344914
833	0.2190013797
834	0.218893282
835	0.2188286805
836	0.218753617
837	0.2187091128
838	0.2184970217
839	0.218480737
840	0.2183040162
841	0.2182042147
842	0.2181545471
843	0.2181162951
844	0.2180213014
845	0.217761269
846	0.2176493196
847	0.2176305265
848	0.2175618891
849	0.2174745027
850	0.2172439635
851	0.2171479224
852	0.2170102522
853	0.2169915589
854	0.2168794348
855	0.216772411
856	0.2167111696
857	0.2166529077
858	0.2166410455
859	0.2166057795
860	0.2164350814
861	0.2163949923
862	0.2162022545
863	0.2160403711
864	0.2159980253
865	0.2157913852
866	0.215787978
867	0.2156973682
868	0.2156422542
869	0.2155461308
870	0.2153445025
871	0.2153305897
872	0.2152816861
873	0.2151180641
874	0.2150961348
875	0.2149336238
876	0.2148703605
877	0.2148086303
878	0.2145846045
879	0.2145311942
880	0.2144566806
881	0.214442049
882	0.2142332962
883	0.214107112
884	0.2140802269
885	0.2140186622
886	0.2138937411
887	0.2138517986
888	0.2137484566
889	0.2136764015
890	0.2135950842
891	0.2134225025
892	0.2132161665
893	0.2131675457
894	0.2131538132
895	0.2129528463
896	0.2128443526
897	0.2128332438
898	0.2127360968
899	0.2126476245
900	0.2123465603
901	0.2121371177
902	0.2120639178
903	0.2120376062
904	0.211873718
905	0.2118388883
906	0.2117750217
907	0.2115482421
908	0.2113951022
909	0.2112062364
910	0.211151533
911	0.2111293025
912	0.2109438759
913	0.2109276654
914	0.210834959
915	0.2107698271
916	0.2106780331
917	0.2104191944
918	0.2104126704
919	0.2103372255
920	0.210263455
921	0.2100148721
922	0.2100086892
923	0.2100025045
924	0.2099300395
925	0.2099003853
926	0.2096424757
927	0.2096031589
928	0.2095420069
929	0.2094498121
930	0.209356331
931	0.2092533283
932	0.2091956851
933	0.2090848807
934	0.2090605626
935	0.2089805688
936	0.2088337993
937	0.2087546331
938	0.2086436723
939	0.2085549879
940	0.2083518656
941	0.2083342959
942	0.2082140261
943	0.2081537561
944	0.2079981057
945	0.2079880164
946	0.2079388361
947	0.2077961971
948	0.2077114047
949	0.2076738033
950	0.207549936
951	0.2074476995
952	0.2073011527
953	0.2072381045
954	0.2071440936
955	0.2069498802
956	0.2069376438
957	0.2069188282
958	0.2067043397
959	0.2066415355
960	0.206559314
961	0.2063705967
962	0.2062256541
963	0.206211055
964	0.2061177239
965	0.2060736326
966	0.206007397
967	0.2058054915
968	0.2057030694
969	0.2056058897
970	0.2055201854
971	0.2053072139
972	0.2051992182
973	0.2051084266
974	0.2048719941
975	0.2047302434
976	0.2046625052
977	0.2046195756
978	0.2045070321
979	0.2044450982
980	0.204314472
981	0.2042461884
982	0.2041469724
983	0.2040096864
984	0.2039892756
985	0.2038832659
986	0.2037954818
987	0.2037692256
988	0.2036759568
989	0.2035863648
990	0.203553456
991	0.2035184131
992	0.2034961754
993	0.2033533318
994	0.2031907361
995	0.2031132036
996	0.2029461094
997	0.2029419906
998	0.202752261
999	0.2026428688
